target,model,cv_mae,cv_rmse,cv_r2,mae,rmse,r2
soil_moisture_5cm,gradient_boosting,6.0187978324237505,7.6567550761990715,0.5341868719133185,6.4902102998155975,9.006714991889417,0.30909038182351145
soil_moisture_5cm,elastic_net,7.223960783201108,9.021653827581678,0.35333107205301467,6.465774287300021,9.051087314522514,0.302265966421456
soil_moisture_5cm,ridge,7.051781652693664,8.894356706461865,0.371456446631713,6.620574116313228,9.239398212137631,0.27293076423455087
soil_moisture_5cm,hist_gradient_boosting,3.8287224702684384,5.230069328347718,0.7826552988119119,7.270763007842757,9.554670277674262,0.22246525087045121
soil_moisture_5cm,extra_trees,3.4684085478004376,4.853518509669037,0.8127758992380425,7.759921912913808,10.168868086831951,0.11928858482225024
soil_moisture_5cm,random_forest,3.5098717457060435,4.98105411085379,0.8029047174360716,7.834729968460062,10.29390631407755,0.09749665346584502
soil_temperature_5cm,gradient_boosting,2.4142512232923807,3.1634070939445587,0.7999509303413982,2.9910058474187964,3.9038627634374623,0.6437651366802251
soil_temperature_5cm,ridge,3.428461544538816,4.390995744422034,0.6145147127419134,3.4243252528152004,4.321958774029012,0.5633750230585421
soil_temperature_5cm,elastic_net,3.4566481814025725,4.441639230837088,0.6055401560940997,3.4197321761160637,4.361479789016925,0.555353309289157
soil_temperature_5cm,extra_trees,0.9726207809505786,1.587503135185423,0.9495220893498995,3.3837778125742024,4.362277534809106,0.5551906363049233
soil_temperature_5cm,hist_gradient_boosting,1.2964986048073042,1.9196585318181956,0.9263434933670585,3.4814328776771646,4.445756708875713,0.5380034623027625
soil_temperature_5cm,random_forest,1.0626990874491684,1.747148349192025,0.9389871625543614,3.7001268688072297,4.953300057345555,0.42649579030189866
